********************************************************************************
32-Bit Software Installed
********************************************************************************

Display Name: AddressBook; Version: Null
Display Name: Adobe AIR; Version: 3.7.0.2090
Display Name: Adobe Flash Player 11 ActiveX; Version: 11.7.700.224
Display Name: Adobe Shockwave Player 12.0; Version: 12.0.2.122
Display Name: Connection Manager; Version: Null
Display Name: DirectDrawEx; Version: Null
Display Name: Fontcore; Version: Null
Display Name: Git version 1.8.3-preview20130601; Version: 1.8.3-preview20130601
Display Name: IE40; Version: Null
Display Name: IE4Data; Version: Null
Display Name: IE5BAKEX; Version: Null
Display Name: IEData; Version: Null
Display Name: MobileOptionPack; Version: Null
Display Name: Mozilla Firefox 21.0 (x86 en-US); Version: 21.0
Display Name: Mozilla Maintenance Service; Version: 21.0
Display Name: NVIDIA Stereoscopic 3D Driver; Version: 7.17.13.1106
Display Name: PhraseExpander 3.8.5.0; Version: Null
Display Name: SchedulingAgent; Version: Null
Display Name: WIC; Version: Null
Display Name: Windows Live Essentials; Version: 16.4.3505.0912
Display Name: Windows Live Communications Platform; Version: 16.4.3505.0912
Display Name: Windows Live UX Platform Language Pack; Version: 16.4.3505.0912
Display Name: Skype™ 6.5; Version: 6.5.158
Display Name: Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319; Version: 10.0.30319
Display Name: {196BB40D-1578-3D01-B289-BEFC77A11A1E}.KB2151757; Version: Null
Display Name: {196BB40D-1578-3D01-B289-BEFC77A11A1E}.KB982573; Version: Null
Display Name: SupportSpace Support Platform; Version: 14.0.0.0
Display Name: Windows Live Writer Resources; Version: 16.4.3505.0912
Display Name: Intel(R) USB 3.0 eXtensible Host Controller Driver; Version: 1.0.4.220
Display Name: Java 7 Update 25; Version: 7.0.250
Display Name: Photo Gallery; Version: 16.4.3505.0912
Display Name: Intel(R) Rapid Storage Technology; Version: 11.1.0.1006
Display Name: Junk Mail filter update; Version: 16.4.3505.0912
Display Name: Dell Wireless Driver Installation; Version: 9.0
Display Name: Java Auto Updater; Version: 2.1.9.5
Display Name: Windows Live UX Platform; Version: 16.4.3505.0912
Display Name: Cisco LEAP Module; Version: 1.0.19
Display Name: Movie Maker; Version: 16.4.3505.0912
Display Name: swMSM; Version: 12.0.0.1
Display Name: Cisco EAP-FAST Module; Version: 2.2.14
Display Name: Intel(R) Management Engine Components; Version: 8.0.0.1351
Display Name: Windows Live PIMT Platform; Version: 16.4.3505.0912
Display Name: Google Chrome; Version: 65.107.16478
Display Name: Windows Live Mail; Version: 16.4.3505.0912
Display Name: Microsoft Visual C++ 2005 Redistributable; Version: 8.0.61001
Display Name: Windows Live Family Safety; Version: 16.4.3505.0912
Display Name: Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729; Version: 9.0.30729
